"","Aqua.Cap.items","Country","Total.production","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"89","Fish","Bahamas",90.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.36,0,38.18,0,0,0,0,0,0
"90","Cod","Bangladesh",2939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1537,1148,57,0,197,0,0,0
"91","Cod and hake and haddock","Bangladesh",1805.16,0,0,0,0,0,0,42.3,0,0,78.96,8.46,62.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.54,56.4,121.26,59.22,121.26,0,16.92,137.56,54.56,188.94,177.66,56.4,236.88,253.8,0,0,0
"92","Freshwater fish, Marine fish","Bangladesh",273606.03,217.14,219.2,565.13,1152.19,1554.76,1896.38,2275.27,3843.95,6530.17,5885.9,9270.9,8283.78,11012.64,7175.86,8702.98,8874.34,8102.95,6055.92,7701.09,15178.53,15185.41,17418.6,9417.51,10209.19,13544.94,8329.19,7017.22,5065.74,3201.08,10021.08,7969.99,4728.08,11333.9,6800.92,11100.92,17763.18,0,0,0,0,0,0,0,0
"93","Jack and horse mackerel, Narrow-barred Spanish mackerel","Bangladesh",127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,35,0,0,0
"94","Marine fish","Bangladesh",4194.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,8.08,0,0,0,0,0,4,0,50,468,590,553,610,681,1209.4
"95","Philippine catfish, Sea catfish, Stinging catfish, Striped catfish","Bangladesh",1677.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.25,526.5,1084.75,0
"96","Salmonids","Bangladesh",368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,85,90,109,80,0,0,0
"97","Seabream","Bangladesh",131.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.06
"98","Trout and char, Atlantic salmon and Danube salmon, Pacific salmons","Bangladesh",29053,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,80,0,0,0,0,0,0,0,0,0,0,0,2325,7380,6135,3496,4731,264,0,0,1682,2385,0,0,343,135,0,0
"99","Tuna","Barbados",103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,63,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100","Atlantic cod, Cod, Pacific cod, Polar cod","Belarus",305.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101","Atlantic salmon and Danube salmon, Pacific salmons, Salmon, Sockeye salmon, Rainbow trout, Trout, Trout and char","Belarus",5153.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.02,89.98,230.56,150.04,0,0,653.53,3821.06,0,150.16,0,0
