"","Country","Detailed.production.source","Aqua.Cap.items","Mean.Trophic.Level","Taxon","Total.production","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"72","Albania","Capture","Common dentex",4.5,"Marine fish",448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,80,4,5,25,40,27,32,43,25,22,14,13,11,15,18,17,15,16
"73","Albania","Imports","Cod and hake and haddock",4.13647975253697,"Fish",1490.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,622,160,135,62,223,63,78.44
"74","Albania","Imports","Cod",4.1072514040651,"Fish",513.3364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,16,0,0,2,0,0,0,0,0,29,2,48,8,10,0,0,2,1,496.32,267.9,1.1164
"75","Albania","Imports","Catfish",3.59658684575278,"Fish",162.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,18.75,28.75,7.5,42.5,20,25,12.5
"76","Albania","Imports","Brisling or sprats",2.96180553611629,"Fish",199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,75,90,0,0,0,0,0,0,0,0,0,0,0,5,2,0,1,0,0
"77","Albania","Capture","Bogue",2.8,"Marine fish",7872,0,0,0,0,0,0,0,559,392,406,499,564,724,583,754,283,196,150,100,52,104,65,220,220,220,120,150,84,76,68,86,132,132,154,80,88,55,50,78,90,80,83,75,100
"78","Albania","Capture","Bleak",2.7,"Freshwater fish",6174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,162,68,149,160,190,478,234,280,330,457,402,504,190,530,505,360,195,200,210,80,60,80,90,109
"79","Albania","Capture","Bighead carp",2.8,"Freshwater fish",196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,5,0,23,12,13,10,16,15,14,17,23
"80","Albania","Imports","Atlantic salmon and Danube salmon",4.5,"Fish",731.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,34,98,120,127,144,183.28
"81","Albania","Imports","Atlantic cod",4.1,"Fish",150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,1,25,48,39,20,0,0,0,0,0,0,0,0,0,0,0
"82","Albania","Capture","Atlantic bonito",4.5,"Marine fish",383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,12,30,25,30,24,4,2,23,30,19,27,21,23,12,5,4,3,27,12,11,7,29
"83","Albania","Capture","Atlantic bluefin tuna",4.5,"Marine fish",493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,9,34,40,47,57,100,156
